time,open,high,low,close
2002-04-30T19:00:00-05:00,5.8,5.8,5.8,5.8
2002-05-31T19:00:00-05:00,5.8,5.8,5.8,5.8
2002-06-30T19:00:00-05:00,5.8,5.8,5.8,5.8
2002-07-31T19:00:00-05:00,5.7,5.7,5.7,5.7
2002-08-31T19:00:00-05:00,5.7,5.7,5.7,5.7
2002-09-30T19:00:00-05:00,5.7,5.7,5.7,5.7
2002-10-31T18:00:00-06:00,5.9,5.9,5.9,5.9
2002-11-30T18:00:00-06:00,6,6,6,6
2002-12-31T18:00:00-06:00,5.8,5.8,5.8,5.8
2003-01-31T18:00:00-06:00,5.9,5.9,5.9,5.9
2003-02-28T18:00:00-06:00,5.9,5.9,5.9,5.9
2003-03-31T18:00:00-06:00,6,6,6,6
2003-04-30T19:00:00-05:00,6.1,6.1,6.1,6.1
2003-05-31T19:00:00-05:00,6.3,6.3,6.3,6.3
2003-06-30T19:00:00-05:00,6.2,6.2,6.2,6.2
2003-07-31T19:00:00-05:00,6.1,6.1,6.1,6.1
2003-08-31T19:00:00-05:00,6.1,6.1,6.1,6.1
2003-09-30T19:00:00-05:00,6,6,6,6
2003-10-31T18:00:00-06:00,5.8,5.8,5.8,5.8
2003-11-30T18:00:00-06:00,5.7,5.7,5.7,5.7
2003-12-31T18:00:00-06:00,5.7,5.7,5.7,5.7
2004-01-31T18:00:00-06:00,5.6,5.6,5.6,5.6
2004-02-29T18:00:00-06:00,5.8,5.8,5.8,5.8
2004-03-31T18:00:00-06:00,5.6,5.6,5.6,5.6
2004-04-30T19:00:00-05:00,5.6,5.6,5.6,5.6
2004-05-31T19:00:00-05:00,5.6,5.6,5.6,5.6
2004-06-30T19:00:00-05:00,5.5,5.5,5.5,5.5
2004-07-31T19:00:00-05:00,5.4,5.4,5.4,5.4
2004-08-31T19:00:00-05:00,5.4,5.4,5.4,5.4
2004-09-30T19:00:00-05:00,5.5,5.5,5.5,5.5
2004-10-31T18:00:00-06:00,5.4,5.4,5.4,5.4
2004-11-30T18:00:00-06:00,5.4,5.4,5.4,5.4
2004-12-31T18:00:00-06:00,5.3,5.3,5.3,5.3
2005-01-31T18:00:00-06:00,5.4,5.4,5.4,5.4
2005-02-28T18:00:00-06:00,5.2,5.2,5.2,5.2
2005-03-31T18:00:00-06:00,5.2,5.2,5.2,5.2
2005-04-30T19:00:00-05:00,5.1,5.1,5.1,5.1
2005-05-31T19:00:00-05:00,5,5,5,5
2005-06-30T19:00:00-05:00,5,5,5,5
2005-07-31T19:00:00-05:00,4.9,4.9,4.9,4.9
2005-08-31T19:00:00-05:00,5,5,5,5
2005-09-30T19:00:00-05:00,5,5,5,5
2005-10-31T18:00:00-06:00,5,5,5,5
2005-11-30T18:00:00-06:00,4.9,4.9,4.9,4.9
2005-12-31T18:00:00-06:00,4.7,4.7,4.7,4.7
2006-01-31T18:00:00-06:00,4.8,4.8,4.8,4.8
2006-02-28T18:00:00-06:00,4.7,4.7,4.7,4.7
2006-03-31T18:00:00-06:00,4.7,4.7,4.7,4.7
2006-04-30T19:00:00-05:00,4.6,4.6,4.6,4.6
2006-05-31T19:00:00-05:00,4.6,4.6,4.6,4.6
2006-06-30T19:00:00-05:00,4.7,4.7,4.7,4.7
2006-07-31T19:00:00-05:00,4.7,4.7,4.7,4.7
2006-08-31T19:00:00-05:00,4.5,4.5,4.5,4.5
2006-09-30T19:00:00-05:00,4.4,4.4,4.4,4.4
2006-10-31T18:00:00-06:00,4.5,4.5,4.5,4.5
2006-11-30T18:00:00-06:00,4.4,4.4,4.4,4.4
2006-12-31T18:00:00-06:00,4.6,4.6,4.6,4.6
2007-01-31T18:00:00-06:00,4.5,4.5,4.5,4.5
2007-02-28T18:00:00-06:00,4.4,4.4,4.4,4.4
2007-03-31T19:00:00-05:00,4.5,4.5,4.5,4.5
2007-04-30T19:00:00-05:00,4.4,4.4,4.4,4.4
2007-05-31T19:00:00-05:00,4.6,4.6,4.6,4.6
2007-06-30T19:00:00-05:00,4.7,4.7,4.7,4.7
2007-07-31T19:00:00-05:00,4.6,4.6,4.6,4.6
2007-08-31T19:00:00-05:00,4.7,4.7,4.7,4.7
2007-09-30T19:00:00-05:00,4.7,4.7,4.7,4.7
2007-10-31T19:00:00-05:00,4.7,4.7,4.7,4.7
2007-11-30T18:00:00-06:00,5,5,5,5
2007-12-31T18:00:00-06:00,5,5,5,5
2008-01-31T18:00:00-06:00,4.9,4.9,4.9,4.9
2008-02-29T18:00:00-06:00,5.1,5.1,5.1,5.1
2008-03-31T19:00:00-05:00,5,5,5,5
2008-04-30T19:00:00-05:00,5.4,5.4,5.4,5.4
2008-05-31T19:00:00-05:00,5.6,5.6,5.6,5.6
2008-06-30T19:00:00-05:00,5.8,5.8,5.8,5.8
2008-07-31T19:00:00-05:00,6.1,6.1,6.1,6.1
2008-08-31T19:00:00-05:00,6.1,6.1,6.1,6.1
2008-09-30T19:00:00-05:00,6.5,6.5,6.5,6.5
2008-10-31T19:00:00-05:00,6.8,6.8,6.8,6.8
2008-11-30T18:00:00-06:00,7.3,7.3,7.3,7.3
2008-12-31T18:00:00-06:00,7.8,7.8,7.8,7.8
2009-01-31T18:00:00-06:00,8.3,8.3,8.3,8.3
2009-02-28T18:00:00-06:00,8.7,8.7,8.7,8.7
2009-03-31T19:00:00-05:00,9,9,9,9
2009-04-30T19:00:00-05:00,9.4,9.4,9.4,9.4
2009-05-31T19:00:00-05:00,9.5,9.5,9.5,9.5
2009-06-30T19:00:00-05:00,9.5,9.5,9.5,9.5
2009-07-31T19:00:00-05:00,9.6,9.6,9.6,9.6
2009-08-31T19:00:00-05:00,9.8,9.8,9.8,9.8
2009-09-30T19:00:00-05:00,10,10,10,10
2009-10-31T19:00:00-05:00,9.9,9.9,9.9,9.9
2009-11-30T18:00:00-06:00,9.9,9.9,9.9,9.9
2009-12-31T18:00:00-06:00,9.8,9.8,9.8,9.8
2010-01-31T18:00:00-06:00,9.8,9.8,9.8,9.8
2010-02-28T18:00:00-06:00,9.9,9.9,9.9,9.9
2010-03-31T19:00:00-05:00,9.9,9.9,9.9,9.9
2010-04-30T19:00:00-05:00,9.6,9.6,9.6,9.6
2010-05-31T19:00:00-05:00,9.4,9.4,9.4,9.4
2010-06-30T19:00:00-05:00,9.4,9.4,9.4,9.4
2010-07-31T19:00:00-05:00,9.5,9.5,9.5,9.5
2010-08-31T19:00:00-05:00,9.5,9.5,9.5,9.5
2010-09-30T19:00:00-05:00,9.4,9.4,9.4,9.4
2010-10-31T19:00:00-05:00,9.8,9.8,9.8,9.8
2010-11-30T18:00:00-06:00,9.3,9.3,9.3,9.3
2010-12-31T18:00:00-06:00,9.1,9.1,9.1,9.1
2011-01-31T18:00:00-06:00,9,9,9,9
2011-02-28T18:00:00-06:00,9,9,9,9
2011-03-31T19:00:00-05:00,9.1,9.1,9.1,9.1
2011-04-30T19:00:00-05:00,9,9,9,9
2011-05-31T19:00:00-05:00,9.1,9.1,9.1,9.1
2011-06-30T19:00:00-05:00,9,9,9,9
2011-07-31T19:00:00-05:00,9,9,9,9
2011-08-31T19:00:00-05:00,9,9,9,9
2011-09-30T19:00:00-05:00,8.8,8.8,8.8,8.8
2011-10-31T19:00:00-05:00,8.6,8.6,8.6,8.6
2011-11-30T18:00:00-06:00,8.5,8.5,8.5,8.5
2011-12-31T18:00:00-06:00,8.3,8.3,8.3,8.3
2012-01-31T18:00:00-06:00,8.3,8.3,8.3,8.3
2012-02-29T18:00:00-06:00,8.2,8.2,8.2,8.2
2012-03-31T19:00:00-05:00,8.2,8.2,8.2,8.2
2012-04-30T19:00:00-05:00,8.2,8.2,8.2,8.2
2012-05-31T19:00:00-05:00,8.2,8.2,8.2,8.2
2012-06-30T19:00:00-05:00,8.2,8.2,8.2,8.2
2012-07-31T19:00:00-05:00,8.1,8.1,8.1,8.1
2012-08-31T19:00:00-05:00,7.8,7.8,7.8,7.8
2012-09-30T19:00:00-05:00,7.8,7.8,7.8,7.8
2012-10-31T19:00:00-05:00,7.7,7.7,7.7,7.7
2012-11-30T18:00:00-06:00,7.9,7.9,7.9,7.9
2012-12-31T18:00:00-06:00,8,8,8,8
2013-01-31T18:00:00-06:00,7.7,7.7,7.7,7.7
2013-02-28T18:00:00-06:00,7.5,7.5,7.5,7.5
2013-03-31T19:00:00-05:00,7.6,7.6,7.6,7.6
2013-04-30T19:00:00-05:00,7.5,7.5,7.5,7.5
2013-05-31T19:00:00-05:00,7.5,7.5,7.5,7.5
2013-06-30T19:00:00-05:00,7.3,7.3,7.3,7.3
2013-07-31T19:00:00-05:00,7.2,7.2,7.2,7.2
2013-08-31T19:00:00-05:00,7.2,7.2,7.2,7.2
2013-09-30T19:00:00-05:00,7.2,7.2,7.2,7.2
2013-10-31T19:00:00-05:00,6.9,6.9,6.9,6.9
2013-11-30T18:00:00-06:00,6.7,6.7,6.7,6.7
2013-12-31T18:00:00-06:00,6.6,6.6,6.6,6.6
2014-01-31T18:00:00-06:00,6.7,6.7,6.7,6.7
2014-02-28T18:00:00-06:00,6.7,6.7,6.7,6.7
2014-03-31T19:00:00-05:00,6.2,6.2,6.2,6.2
2014-04-30T19:00:00-05:00,6.3,6.3,6.3,6.3
2014-05-31T19:00:00-05:00,6.1,6.1,6.1,6.1
2014-06-30T19:00:00-05:00,6.2,6.2,6.2,6.2
2014-07-31T19:00:00-05:00,6.1,6.1,6.1,6.1
2014-08-31T19:00:00-05:00,5.9,5.9,5.9,5.9
2014-09-30T19:00:00-05:00,5.7,5.7,5.7,5.7
2014-10-31T19:00:00-05:00,5.8,5.8,5.8,5.8
2014-11-30T18:00:00-06:00,5.6,5.6,5.6,5.6
2014-12-31T18:00:00-06:00,5.7,5.7,5.7,5.7
2015-01-31T18:00:00-06:00,5.5,5.5,5.5,5.5
2015-02-28T18:00:00-06:00,5.4,5.4,5.4,5.4
2015-03-31T19:00:00-05:00,5.4,5.4,5.4,5.4
2015-04-30T19:00:00-05:00,5.6,5.6,5.6,5.6
2015-05-31T19:00:00-05:00,5.3,5.3,5.3,5.3
2015-06-30T19:00:00-05:00,5.2,5.2,5.2,5.2
2015-07-31T19:00:00-05:00,5.1,5.1,5.1,5.1
2015-08-31T19:00:00-05:00,5,5,5,5
2015-09-30T19:00:00-05:00,5,5,5,5
2015-10-31T19:00:00-05:00,5.1,5.1,5.1,5.1
2015-11-30T18:00:00-06:00,5,5,5,5
2015-12-31T18:00:00-06:00,4.8,4.8,4.8,4.8
2016-01-31T18:00:00-06:00,4.9,4.9,4.9,4.9
2016-02-29T18:00:00-06:00,5,5,5,5
2016-03-31T19:00:00-05:00,5.1,5.1,5.1,5.1
2016-04-30T19:00:00-05:00,4.8,4.8,4.8,4.8
2016-05-31T19:00:00-05:00,4.9,4.9,4.9,4.9
2016-06-30T19:00:00-05:00,4.8,4.8,4.8,4.8
2016-07-31T19:00:00-05:00,4.9,4.9,4.9,4.9
2016-08-31T19:00:00-05:00,5,5,5,5
2016-09-30T19:00:00-05:00,4.9,4.9,4.9,4.9
2016-10-31T19:00:00-05:00,4.7,4.7,4.7,4.7
2016-11-30T18:00:00-06:00,4.7,4.7,4.7,4.7
2016-12-31T18:00:00-06:00,4.7,4.7,4.7,4.7
2017-01-31T18:00:00-06:00,4.6,4.6,4.6,4.6
2017-02-28T18:00:00-06:00,4.4,4.4,4.4,4.4
2017-03-31T19:00:00-05:00,4.4,4.4,4.4,4.4
2017-04-30T19:00:00-05:00,4.4,4.4,4.4,4.4
2017-05-31T19:00:00-05:00,4.3,4.3,4.3,4.3
2017-06-30T19:00:00-05:00,4.3,4.3,4.3,4.3
2017-07-31T19:00:00-05:00,4.4,4.4,4.4,4.4
2017-08-31T19:00:00-05:00,4.3,4.3,4.3,4.3
2017-09-30T19:00:00-05:00,4.2,4.2,4.2,4.2
2017-10-31T19:00:00-05:00,4.2,4.2,4.2,4.2
2017-11-30T18:00:00-06:00,4.1,4.1,4.1,4.1
2017-12-31T18:00:00-06:00,4,4,4,4
2018-01-31T18:00:00-06:00,4.1,4.1,4.1,4.1
2018-02-28T18:00:00-06:00,4,4,4,4
2018-03-31T19:00:00-05:00,4,4,4,4
2018-04-30T19:00:00-05:00,3.8,3.8,3.8,3.8
2018-05-31T19:00:00-05:00,4,4,4,4
2018-06-30T19:00:00-05:00,3.8,3.8,3.8,3.8
2018-07-31T19:00:00-05:00,3.8,3.8,3.8,3.8
2018-08-31T19:00:00-05:00,3.7,3.7,3.7,3.7
2018-09-30T19:00:00-05:00,3.8,3.8,3.8,3.8
2018-10-31T19:00:00-05:00,3.8,3.8,3.8,3.8
2018-11-30T18:00:00-06:00,3.9,3.9,3.9,3.9
2018-12-31T18:00:00-06:00,4,4,4,4
2019-01-31T18:00:00-06:00,3.8,3.8,3.8,3.8
2019-02-28T18:00:00-06:00,3.8,3.8,3.8,3.8
2019-03-31T19:00:00-05:00,3.6,3.6,3.6,3.6
2019-04-30T19:00:00-05:00,3.6,3.6,3.6,3.6
2019-05-31T19:00:00-05:00,3.6,3.6,3.6,3.6
2019-06-30T19:00:00-05:00,3.7,3.7,3.7,3.7
2019-07-31T19:00:00-05:00,3.7,3.7,3.7,3.7
2019-08-31T19:00:00-05:00,3.5,3.5,3.5,3.5
2019-09-30T19:00:00-05:00,3.6,3.6,3.6,3.6
2019-10-31T19:00:00-05:00,3.6,3.6,3.6,3.6
2019-11-30T18:00:00-06:00,3.6,3.6,3.6,3.6
2019-12-31T18:00:00-06:00,3.5,3.5,3.5,3.5
2020-01-31T18:00:00-06:00,3.5,3.5,3.5,3.5
2020-02-29T18:00:00-06:00,4.4,4.4,4.4,4.4
2020-03-31T19:00:00-05:00,14.7,14.7,14.7,14.7
2020-04-30T19:00:00-05:00,13.2,13.2,13.2,13.2
2020-05-31T19:00:00-05:00,11,11,11,11
2020-06-30T19:00:00-05:00,10.2,10.2,10.2,10.2
2020-07-31T19:00:00-05:00,8.4,8.4,8.4,8.4
2020-08-31T19:00:00-05:00,7.9,7.9,7.9,7.9
2020-09-30T19:00:00-05:00,6.9,6.9,6.9,6.9
2020-10-31T19:00:00-05:00,6.7,6.7,6.7,6.7
2020-11-30T18:00:00-06:00,6.7,6.7,6.7,6.7
2020-12-31T18:00:00-06:00,6.4,6.4,6.4,6.4
2021-01-31T18:00:00-06:00,6.2,6.2,6.2,6.2
2021-02-28T18:00:00-06:00,6,6,6,6
2021-03-31T19:00:00-05:00,6,6,6,6
2021-04-30T19:00:00-05:00,5.8,5.8,5.8,5.8
2021-05-31T19:00:00-05:00,5.9,5.9,5.9,5.9
2021-06-30T19:00:00-05:00,5.4,5.4,5.4,5.4
2021-07-31T19:00:00-05:00,5.2,5.2,5.2,5.2
2021-08-31T19:00:00-05:00,4.7,4.7,4.7,4.7
2021-09-30T19:00:00-05:00,4.6,4.6,4.6,4.6
2021-10-31T19:00:00-05:00,4.2,4.2,4.2,4.2
2021-11-30T18:00:00-06:00,3.9,3.9,3.9,3.9
2021-12-31T18:00:00-06:00,4,4,4,4
2022-01-31T18:00:00-06:00,3.8,3.8,3.8,3.8
2022-02-28T18:00:00-06:00,3.6,3.6,3.6,3.6
2022-03-31T19:00:00-05:00,3.6,3.6,3.6,3.6
2022-04-30T19:00:00-05:00,3.6,3.6,3.6,3.6
2022-05-31T19:00:00-05:00,3.6,3.6,3.6,3.6
2022-06-30T19:00:00-05:00,3.5,3.5,3.5,3.5
2022-07-31T19:00:00-05:00,3.7,3.7,3.7,3.7
2022-08-31T19:00:00-05:00,3.5,3.5,3.5,3.5
2022-09-30T19:00:00-05:00,3.7,3.7,3.7,3.7
2022-10-31T19:00:00-05:00,3.7,3.7,3.7,3.7
